clip_id,start_time,end_time,change,deviation,decision,prototype_ready
0,0.0000,1.0000,,,WAIT,False
1,1.0000,2.0000,0.006601,,WAIT,False
2,2.0000,3.0000,0.036118,,WAIT,False
3,3.0000,4.0000,0.009877,,WAIT,False
4,4.0000,5.0000,0.016931,0.017182,WAIT,True
5,5.0000,6.0000,0.019536,0.024105,WAIT,True
6,6.0000,7.0000,0.011542,0.023174,WAIT,True
7,7.0000,8.0000,0.007929,0.033428,WAIT,True
8,8.0000,9.0000,0.005923,0.049162,SUSPICIOUS,True
9,9.0000,10.0000,0.003444,0.051302,SUSPICIOUS,True
10,10.0000,11.0000,0.006052,0.053510,SUSPICIOUS,True
11,11.0000,12.0000,0.010052,0.070917,SUSPICIOUS,True
12,12.0000,12.5667,0.003070,0.082351,SUSPICIOUS,True
